formula,Property Test temperature,Property Test temperature units,Property Type of test,Property YS,Property YS units,Property Processing method
CrNbTiZr,25.0,$^\circ$C,C,1260.0,MPa,
AlCoCrCuFeNi,,,,,,CAST
HfMoNbTiZr,25.0,$^\circ$C,C,1575.0,MPa,ANNEAL
HfNbTaTiZr,660.0,$^\circ$C,,,,WROUGHT
FeMnNi,25.0,$^\circ$C,T,407.0,MPa,WROUGHT
HfNbTiVZr,25.0,$^\circ$C,C,1253.0,MPa,ANNEAL
HfMoTaTiZr,1000.0,$^\circ$C,C,855.0,MPa,CAST
Al$_{0.5}$CoCrFeNi,25.0,$^\circ$C,,,,ANNEAL
Al$_{0.312}$Co$_{0.625}$Cr$_{0.625}$Cu$_{0.625}$Fe$_{0.625}$Ni$_{0.625}$V,25.0,$^\circ$C,,,,CAST
Al$_{0.214}$Nb$_{0.714}$Ta$_{0.714}$TiZr$_{0.929}$,25.0,$^\circ$C,C,1965.0,MPa,OTHER
CrMoTaTi,400.0,$^\circ$C,C,1175.0,MPa,ANNEAL
AlCoCrFeNi,25.0,$^\circ$C,C,1286.0,MPa,POWDER
CoCrFeMnNi,25.0,$^\circ$C,T,1362.74,MPa,WROUGHT
FeMoNbTiV,25.0,$^\circ$C,C,1707.0,MPa,CAST
Al$_{0.75}$CoFeNi,25.0,$^\circ$C,C,794.0,MPa,CAST
HfNbSi$_{0.5}$TiV,800.0,$^\circ$C,C,875.0,MPa,CAST
CoCrFeMnMo$_{0.042}$Ni,25.0,$^\circ$C,C,225.0,MPa,CAST
AlCr$_{0.5}$NbTiV,25.0,$^\circ$C,C,1300.0,MPa,ANNEAL
MoNbTaW,1600.0,$^\circ$C,C,405.0,MPa,CAST
AlCrCuFeNi,,,,,,POWDER
CoCrFeNiTi$_{0.3}$,25.0,$^\circ$C,T,540.0,MPa,WROUGHT
Hf$_{0.5}$Mo$_{0.5}$NbSi$_{0.9}$TiZr,25.0,$^\circ$C,C,1650.0,MPa,CAST
Al$_{0.5}$CoCr$_{0.5}$Fe$_{0.5}$Mo$_{0.25}$Ni$_{0.5}$,25.0,$^\circ$C,,,,CAST
Al$_{0.286}$Cr$_{0.343}$FeMn$_{0.657}$Ni$_{0.571}$,25.0,$^\circ$C,T,320.0,MPa,WROUGHT
Mo$_{0.7}$NbTiV$_{0.3}$Zr,25.0,$^\circ$C,C,1436.0,MPa,ANNEAL
CrNbTaTi,,,,,,ANNEAL
CoCrFeMo$_{0.2}$Ni,25.0,$^\circ$C,T,,,ANNEAL
MoNbSi$_{0.5}$TaW,200.0,$^\circ$C,,,,POWDER
AlNbTiV,600.0,$^\circ$C,C,780.0,MPa,ANNEAL
Al$_{0.5}$CoCrCuFeNiV$_{0.4}$,25.0,$^\circ$C,,,,CAST
AlCo$_{0.5}$CrFeMo$_{0.5}$Ni,25.0,$^\circ$C,,,,CAST
CoCrCuFeMnNiTiV,25.0,$^\circ$C,C,1312.0,MPa,CAST
MoNbTaTi,200.0,$^\circ$C,C,868.0,MPa,ANNEAL
CrHfNbTiZr,25.0,$^\circ$C,C,1420.0,MPa,ANNEAL
Al$_{0.25}$CoCrFeNi,25.0,$^\circ$C,,,,ANNEAL
AlCoCrCuFeNiTi,25.0,$^\circ$C,C,1234.0,MPa,CAST
Al$_{0.667}$CrNb$_{0.667}$Ti$_{0.667}$V$_{0.667}$,600.0,$^\circ$C,C,1370.0,MPa,ANNEAL
NbTaTiW,100.0,$^\circ$C,C,968.0,MPa,ANNEAL
CoMnNi,25.0,$^\circ$C,T,267.0,MPa,WROUGHT
Al$_{0.25}$Cr$_{0.5}$Nb$_{0.5}$TiV$_{0.25}$,1000.0,$^\circ$C,C,90.0,MPa,ANNEAL
CoCrFeMo$_{0.2}$Ni,25.0,$^\circ$C,T,,,ANNEAL
NbTiZr,800.0,$^\circ$C,C,462.0,MPa,CAST
Al$_{0.8}$CoCrFeNiTi$_{0.2}$,25.0,$^\circ$C,C,968.0,MPa,
CoCrFeMnNi,25.0,$^\circ$C,T,249.0,MPa,WROUGHT
AlMo$_{0.5}$NbTa$_{0.5}$TiZr,23.0,$^\circ$C,C,2000.0,MPa,OTHER
AlCrCuFeNi,800.0,$^\circ$C,C,48.0,MPa,POWDER
HfNbTaTiZr,220.0,$^\circ$C,,,,WROUGHT
MoNbTiV$_{0.3}$Zr,25.0,$^\circ$C,C,1455.0,MPa,ANNEAL
